id,name,city,state,segment,created_at
1,Nascimento & Costa Distribuidora Mercearia,Recife,DF,supermarket,2023-04-03 03:46:36
2,Lima & Almeida Atacado Mercearia,Rio de Janeiro,PE,convenience,2023-08-05 01:36:12
3,Ferreira & Costa Grupo Mercearia,São Paulo,PR,grocery,2023-07-10 11:37:01
4,Lima & Almeida Comércio Supermercado,Campo Grande,MT,convenience,2023-10-13 01:08:52
5,Ferreira & Ferreira Comércio Mercearia,São Paulo,PB,convenience,2024-04-20 00:23:27
6,Nascimento & Lima Grupo Mercearia,Curitiba,PR,grocery,2023-11-17 10:38:24
7,Silva & Lima Atacado Supermercado,Natal,MS,minimarket,2024-11-07 00:14:59
8,Ferreira & Nascimento Mercado Mercado,Porto Alegre,ES,grocery,2024-11-02 00:06:28
9,Rodrigues & Rodrigues Suprimentos Mercearia,Belo Horizonte,MS,supermarket,2024-07-14 23:03:47
10,Rodrigues & Oliveira Distribuidora Mercado,João Pessoa,DF,supermarket,2023-12-22 02:14:12
11,Almeida & Nascimento Mercado Supermercado,João Pessoa,RS,supermarket,2023-03-29 10:51:54
12,Souza & Lima Suprimentos Supermercado,Cuiabá,BA,supermarket,2024-06-14 13:38:29
13,Oliveira & Silva Alimentos Supermercado,Brasília,MS,supermarket,2023-12-30 06:04:34
14,Rodrigues & Nascimento Distribuidora Mercado,Salvador,GO,minimarket,2023-09-09 21:04:32
15,Ferreira & Nascimento Suprimentos Mercearia,Belo Horizonte,RN,minimarket,2023-05-24 03:11:41
16,Ferreira & Rodrigues Grupo Supermercado,Manaus,MS,convenience,2023-02-21 04:20:26
17,Oliveira & Silva Distribuidora Mercado,Curitiba,CE,supermarket,2023-10-13 15:09:24
18,Souza & Oliveira Brasil Supermercado,João Pessoa,CE,grocery,2024-05-18 10:40:48
19,Almeida & Souza Distribuidora Mercado,Brasília,RJ,supermarket,2024-10-06 04:27:01
20,Oliveira & Rodrigues Mercado Mercado,Belo Horizonte,PE,minimarket,2023-11-08 20:14:07
21,Nascimento & Almeida Grupo Mercearia,São Paulo,RN,supermarket,2023-10-20 04:35:15
22,Rodrigues & Oliveira Brasil Mercado,São Paulo,AM,minimarket,2023-12-16 00:14:07
