id,order_id,paid_at,amount,method,status
1,1,2023-08-23 19:25:59,1987.16,transfer,paid
2,2,2024-07-20 17:57:54,24074.93,boleto,paid
3,3,2024-06-16 10:16:15,2416.42,transfer,paid
4,4,2024-07-11 11:46:30,3871.48,boleto,paid
5,5,2023-09-08 00:06:40,15367.65,transfer,paid
6,6,2023-10-27 01:28:55,29780.07,credit_card,paid
7,7,2024-10-28 01:31:47,30976.31,pix,paid
8,8,2024-09-27 21:17:16,393.3,boleto,paid
9,9,2023-10-09 15:19:35,6012.8,credit_card,paid
10,10,2024-01-02 07:20:35,8723.65,transfer,paid
11,11,2024-01-07 01:53:26,16878.65,boleto,paid
12,12,2023-08-11 06:46:47,5300.43,transfer,paid
13,13,2024-08-08 10:12:11,2388.79,credit_card,paid
14,14,2024-11-30 04:01:34,31557.09,transfer,paid
15,15,2024-08-31 17:38:59,11024.13,credit_card,paid
16,16,2024-03-07 01:06:55,16730.94,transfer,paid
17,17,2024-10-10 21:39:18,20015.94,transfer,paid
18,18,2024-04-28 09:45:25,34445.4,boleto,paid
19,19,2024-03-15 16:13:44,13490.73,pix,paid
20,20,2024-02-16 07:25:53,29060.79,boleto,paid
21,21,,10366.38,credit_card,failed
22,22,2023-09-26 09:06:49,17255.43,boleto,paid
23,23,2023-08-09 20:43:51,6252.52,transfer,paid
24,24,2024-11-12 16:03:43,11392.41,boleto,paid
25,25,2024-02-27 23:06:57,11934.13,credit_card,paid
26,26,2024-05-26 10:08:35,21131.84,boleto,paid
27,27,,4717.45,boleto,failed
28,28,2024-10-12 21:50:34,16482.39,transfer,paid
29,29,2024-07-13 13:30:26,21931.44,pix,paid
30,30,2024-10-05 00:16:12,1235.88,boleto,paid
31,31,2024-03-30 06:36:51,5938.33,pix,paid
32,32,2023-12-16 10:49:57,5076.15,boleto,paid
33,33,2023-12-19 16:46:47,24831.32,credit_card,paid
34,34,2023-08-17 22:12:38,7977.8,pix,paid
35,35,2023-10-26 05:14:25,11374.26,transfer,paid
36,36,2024-09-12 06:39:21,17777.72,boleto,paid
37,37,2024-08-23 08:34:51,492.4,transfer,paid
38,38,2024-06-17 22:56:08,509.27,boleto,paid
39,39,2024-11-02 17:24:40,18575.69,boleto,paid
40,40,2023-11-23 16:00:54,27053.09,pix,paid
41,41,2024-04-14 15:43:12,113.42,transfer,paid
42,42,2023-09-18 00:22:26,10741.5,boleto,paid
43,43,2024-11-19 19:46:10,5472.47,credit_card,paid
44,44,2024-09-03 09:07:33,12046.45,pix,paid
45,45,2023-11-28 21:16:42,28325.43,pix,paid
46,46,,452.85,credit_card,failed
47,47,2023-12-08 08:04:51,38460.87,transfer,paid
48,48,2024-03-05 07:16:38,12516.89,pix,paid
49,49,,34673.6,transfer,refunded
50,50,2023-09-15 04:44:58,7899.89,credit_card,paid
51,51,2024-06-05 15:24:00,14370.14,credit_card,paid
52,52,,12349.01,credit_card,refunded
53,53,2023-09-10 19:22:43,181.75,boleto,paid
54,54,2024-05-04 12:37:55,5477.03,credit_card,paid
55,55,,5418.9,boleto,refunded
56,56,2023-09-21 11:36:58,23839.64,credit_card,paid
57,57,2024-04-21 04:02:07,29993.19,pix,paid
58,58,2024-02-04 20:37:27,652.52,boleto,paid
59,59,2023-09-28 07:03:39,10475.13,transfer,paid
60,60,2024-10-02 21:16:01,13346.08,boleto,paid
61,61,2024-08-22 12:15:06,25932.62,pix,paid
62,62,2024-10-15 01:36:24,13818.29,boleto,paid
63,63,2023-08-08 23:58:08,24143.2,credit_card,paid
64,64,2024-06-01 10:59:34,15560.53,boleto,paid
65,65,2023-09-18 21:38:53,13888.7,pix,paid
66,66,,4551.32,credit_card,refunded
67,67,2024-09-30 03:21:16,47047.8,pix,paid
68,68,2024-06-29 22:28:09,7553.44,transfer,paid
69,69,2024-02-17 22:04:13,5549.1,credit_card,paid
70,70,2023-12-06 13:27:12,10305.36,boleto,paid
71,71,,22174.04,credit_card,refunded
72,72,2024-11-26 14:00:44,37657.41,transfer,paid
