id,name,category,seller_id,active,unit_cost
1,Produto Laticínios Linha 1,Snacks,31,1,104.39
2,Produto Grãos Linha 2,Carnes,71,1,153.19
3,Produto Enlatados Linha 3,Grãos,9,0,90.57
4,Produto Snacks Linha 4,Bebidas,13,1,158.39
5,Produto Carnes Linha 5,Grãos,58,1,124.43
6,Produto Grãos Linha 6,Snacks,3,1,24.39
7,Produto Higiene Linha 7,Limpeza,35,1,32.95
8,Produto Padaria Linha 8,Limpeza,97,1,88.53
9,Produto Congelados Linha 9,Laticínios,21,1,80.58
10,Produto Laticínios Linha 10,Limpeza,64,1,149.22
11,Produto Laticínios Linha 11,Laticínios,95,1,116.99
12,Produto Snacks Linha 12,Carnes,52,1,78.85
13,Produto Snacks Linha 13,Carnes,34,1,35.81
14,Produto Limpeza Linha 14,Snacks,96,1,46.91
15,Produto Padaria Linha 15,Higiene,35,0,115.95
16,Produto Grãos Linha 16,Enlatados,15,1,85.84
17,Produto Enlatados Linha 17,Carnes,120,1,103.96
18,Produto Enlatados Linha 18,Laticínios,96,1,35.79
19,Produto Bebidas Linha 19,Padaria,6,1,133.26
20,Produto Laticínios Linha 20,Limpeza,109,1,170.8
21,Produto Higiene Linha 21,Higiene,85,1,53.07
22,Produto Higiene Linha 22,Laticínios,97,1,99.32
23,Produto Higiene Linha 23,Limpeza,32,1,195.15
24,Produto Congelados Linha 24,Snacks,52,1,67.98
25,Produto Limpeza Linha 25,Grãos,83,1,119.82
26,Produto Enlatados Linha 26,Bebidas,97,1,19.86
27,Produto Higiene Linha 27,Snacks,28,1,121.99
28,Produto Limpeza Linha 28,Snacks,95,1,19.75
29,Produto Laticínios Linha 29,Enlatados,85,1,191.93
30,Produto Bebidas Linha 30,Carnes,118,1,143.7
31,Produto Laticínios Linha 31,Limpeza,98,1,158.06
32,Produto Grãos Linha 32,Higiene,64,0,141.41
33,Produto Padaria Linha 33,Padaria,79,1,118.77
34,Produto Snacks Linha 34,Congelados,78,1,91.08
35,Produto Grãos Linha 35,Higiene,19,0,171.96
36,Produto Padaria Linha 36,Congelados,107,1,191.45
37,Produto Snacks Linha 37,Bebidas,15,1,100.81
38,Produto Enlatados Linha 38,Grãos,6,1,186.44
39,Produto Higiene Linha 39,Limpeza,116,1,117.5
40,Produto Laticínios Linha 40,Carnes,73,0,108.6
41,Produto Grãos Linha 41,Bebidas,101,1,91.99
42,Produto Congelados Linha 42,Padaria,84,1,43.44
43,Produto Snacks Linha 43,Higiene,98,1,2.74
44,Produto Snacks Linha 44,Higiene,38,1,49.82
45,Produto Enlatados Linha 45,Grãos,26,1,102.93
46,Produto Snacks Linha 46,Enlatados,82,1,77.23
47,Produto Congelados Linha 47,Limpeza,92,1,90.8
48,Produto Enlatados Linha 48,Bebidas,119,1,196.17
49,Produto Bebidas Linha 49,Higiene,51,0,71.35
50,Produto Snacks Linha 50,Grãos,73,1,91.53
51,Produto Laticínios Linha 51,Laticínios,96,1,28.44
52,Produto Snacks Linha 52,Limpeza,53,1,11.5
53,Produto Laticínios Linha 53,Congelados,56,1,155.53
54,Produto Snacks Linha 54,Bebidas,59,1,115.0
55,Produto Laticínios Linha 55,Carnes,70,0,152.62
56,Produto Laticínios Linha 56,Snacks,78,1,31.67
57,Produto Padaria Linha 57,Bebidas,92,1,115.22
58,Produto Limpeza Linha 58,Snacks,58,1,52.22
59,Produto Snacks Linha 59,Bebidas,88,1,47.16
60,Produto Snacks Linha 60,Higiene,13,1,4.28
61,Produto Enlatados Linha 61,Enlatados,43,1,27.81
62,Produto Enlatados Linha 62,Padaria,76,1,63.24
63,Produto Bebidas Linha 63,Grãos,51,1,25.14
64,Produto Limpeza Linha 64,Enlatados,19,1,197.2
65,Produto Grãos Linha 65,Enlatados,21,0,63.11
66,Produto Grãos Linha 66,Bebidas,91,1,27.8
67,Produto Snacks Linha 67,Higiene,83,1,41.42
68,Produto Congelados Linha 68,Enlatados,24,1,118.37
69,Produto Bebidas Linha 69,Limpeza,26,1,14.68
70,Produto Enlatados Linha 70,Limpeza,45,0,172.76
71,Produto Enlatados Linha 71,Congelados,28,1,192.38
72,Produto Bebidas Linha 72,Enlatados,110,1,50.86
73,Produto Padaria Linha 73,Enlatados,120,1,91.12
74,Produto Snacks Linha 74,Limpeza,82,1,6.38
75,Produto Carnes Linha 75,Carnes,108,1,128.86
76,Produto Bebidas Linha 76,Limpeza,100,1,83.96
77,Produto Limpeza Linha 77,Higiene,106,1,55.47
78,Produto Laticínios Linha 78,Congelados,29,1,42.95
79,Produto Higiene Linha 79,Padaria,17,1,131.5
80,Produto Enlatados Linha 80,Grãos,68,1,84.41
81,Produto Bebidas Linha 81,Higiene,44,1,37.57
82,Produto Grãos Linha 82,Higiene,109,1,138.44
83,Produto Higiene Linha 83,Laticínios,61,1,113.88
84,Produto Limpeza Linha 84,Grãos,93,1,172.02
85,Produto Limpeza Linha 85,Laticínios,68,1,25.26
86,Produto Limpeza Linha 86,Limpeza,74,1,157.56
87,Produto Padaria Linha 87,Congelados,25,1,135.36
88,Produto Higiene Linha 88,Laticínios,95,1,24.77
89,Produto Grãos Linha 89,Bebidas,67,1,139.57
90,Produto Bebidas Linha 90,Carnes,111,1,89.43
91,Produto Limpeza Linha 91,Laticínios,2,1,189.11
92,Produto Grãos Linha 92,Padaria,89,1,30.04
93,Produto Higiene Linha 93,Laticínios,49,1,129.28
94,Produto Carnes Linha 94,Carnes,70,1,77.63
95,Produto Padaria Linha 95,Limpeza,26,1,191.45
96,Produto Congelados Linha 96,Laticínios,72,1,67.34
97,Produto Congelados Linha 97,Carnes,99,1,192.51
98,Produto Limpeza Linha 98,Snacks,27,1,180.49
99,Produto Enlatados Linha 99,Padaria,89,1,55.54
100,Produto Limpeza Linha 100,Laticínios,18,1,161.1
101,Produto Carnes Linha 101,Laticínios,54,1,199.13
102,Produto Grãos Linha 102,Bebidas,1,1,52.03
103,Produto Laticínios Linha 103,Bebidas,61,1,88.48
104,Produto Limpeza Linha 104,Limpeza,112,1,105.0
105,Produto Limpeza Linha 105,Snacks,103,1,60.4
106,Produto Snacks Linha 106,Laticínios,3,1,5.02
107,Produto Congelados Linha 107,Carnes,119,1,45.59
108,Produto Padaria Linha 108,Snacks,68,1,57.82
109,Produto Limpeza Linha 109,Grãos,41,1,89.83
110,Produto Higiene Linha 110,Limpeza,37,1,35.88
111,Produto Laticínios Linha 111,Laticínios,51,1,174.9
112,Produto Laticínios Linha 112,Snacks,15,1,141.57
113,Produto Enlatados Linha 113,Laticínios,8,1,18.87
114,Produto Limpeza Linha 114,Bebidas,38,0,130.72
115,Produto Snacks Linha 115,Carnes,114,1,131.42
116,Produto Grãos Linha 116,Padaria,83,1,191.33
117,Produto Carnes Linha 117,Laticínios,56,0,2.6
118,Produto Enlatados Linha 118,Carnes,47,1,51.09
119,Produto Padaria Linha 119,Laticínios,90,1,185.7
120,Produto Higiene Linha 120,Laticínios,103,1,186.56
121,Produto Grãos Linha 121,Bebidas,10,1,144.68
122,Produto Limpeza Linha 122,Enlatados,102,1,153.62
123,Produto Limpeza Linha 123,Padaria,78,1,20.11
124,Produto Grãos Linha 124,Padaria,49,1,103.75
125,Produto Limpeza Linha 125,Bebidas,41,1,47.85
126,Produto Carnes Linha 126,Laticínios,83,1,37.88
127,Produto Carnes Linha 127,Enlatados,30,1,162.44
128,Produto Limpeza Linha 128,Limpeza,5,1,28.74
129,Produto Bebidas Linha 129,Congelados,119,1,94.79
130,Produto Laticínios Linha 130,Padaria,95,1,187.84
131,Produto Padaria Linha 131,Grãos,71,0,38.79
132,Produto Snacks Linha 132,Padaria,83,1,195.64
133,Produto Higiene Linha 133,Grãos,31,1,198.87
