id,name,state,plan,created_at
1,Santos & Silva Atacado Distribuidora,BA,free,2023-04-17 00:16:11
2,Souza & Souza Comércio Distribuidora,DF,premium,2022-09-09 22:06:21
3,Santos & Almeida Distribuidora Distribuidora,AM,basic,2022-12-16 08:31:25
4,Nascimento & Ferreira Alimentos Distribuidora,GO,basic,2023-05-30 23:12:37
5,Silva & Santos Suprimentos Distribuidora,BA,premium,2023-03-06 10:29:33
6,Souza & Almeida Alimentos Distribuidora,AM,basic,2023-07-10 08:43:57
7,Almeida & Souza Grupo Distribuidora,AM,free,2023-07-06 16:54:48
8,Souza & Rodrigues Atacado Distribuidora,RS,free,2023-01-05 19:42:42
9,Silva & Oliveira Grupo Distribuidora,GO,free,2023-03-30 00:59:04
10,Costa & Lima Comércio Distribuidora,MG,free,2023-05-19 01:38:15
11,Souza & Costa Distribuidora Distribuidora,RJ,free,2022-09-30 00:32:29
12,Santos & Ferreira Distribuidora Distribuidora,PA,premium,2023-07-26 12:44:39
13,Costa & Costa Atacado Distribuidora,SC,free,2023-07-28 03:07:09
14,Silva & Rodrigues Distribuidora Distribuidora,RJ,free,2022-10-31 22:33:06
15,Ferreira & Santos Atacado Distribuidora,SP,free,2023-07-02 18:42:33
16,Nascimento & Costa Suprimentos Distribuidora,PA,premium,2022-10-03 02:37:34
17,Santos & Silva Suprimentos Distribuidora,PA,free,2023-06-07 15:29:14
18,Lima & Santos Suprimentos Distribuidora,RN,basic,2023-06-11 20:56:24
19,Santos & Ferreira Atacado Distribuidora,CE,free,2022-10-08 18:14:51
20,Rodrigues & Costa Comércio Distribuidora,MS,free,2023-07-09 07:23:40
21,Costa & Costa Suprimentos Distribuidora,DF,free,2023-01-08 02:51:44
22,Lima & Santos Comércio Distribuidora,DF,free,2022-08-10 15:01:32
23,Almeida & Souza Comércio Distribuidora,PA,basic,2022-10-09 15:45:45
24,Rodrigues & Ferreira Atacado Distribuidora,MG,free,2023-05-14 01:16:42
25,Almeida & Souza Mercado Distribuidora,PR,basic,2023-07-26 00:50:46
26,Silva & Souza Alimentos Distribuidora,BA,free,2022-12-08 00:11:34
27,Costa & Ferreira Atacado Distribuidora,PE,free,2023-05-31 20:22:14
28,Santos & Souza Mercado Distribuidora,BA,free,2023-07-28 11:49:58
29,Souza & Rodrigues Grupo Distribuidora,PB,free,2023-01-07 21:26:41
30,Rodrigues & Oliveira Atacado Distribuidora,RS,basic,2023-06-08 13:22:24
31,Oliveira & Souza Atacado Distribuidora,ES,free,2023-04-18 03:59:13
32,Nascimento & Ferreira Grupo Distribuidora,PB,free,2023-07-02 13:39:37
33,Costa & Souza Comércio Distribuidora,PE,free,2023-05-13 11:13:58
34,Almeida & Rodrigues Distribuidora Distribuidora,RJ,free,2023-06-11 20:43:52
35,Silva & Santos Comércio Distribuidora,DF,basic,2022-11-05 09:05:10
36,Oliveira & Ferreira Distribuidora Distribuidora,BA,basic,2022-11-12 14:48:34
37,Ferreira & Ferreira Brasil Distribuidora,PA,free,2022-10-01 19:49:53
38,Almeida & Lima Alimentos Distribuidora,GO,premium,2023-06-02 18:51:44
39,Santos & Almeida Atacado Distribuidora,DF,free,2023-04-30 08:23:11
40,Costa & Santos Atacado Distribuidora,MG,premium,2022-09-11 23:31:27
41,Ferreira & Oliveira Brasil Distribuidora,ES,free,2022-12-27 13:32:50
42,Silva & Lima Comércio Distribuidora,RN,free,2023-07-05 17:11:01
43,Almeida & Santos Atacado Distribuidora,RS,free,2022-08-16 00:56:22
44,Almeida & Nascimento Suprimentos Distribuidora,PB,basic,2023-06-30 10:40:08
45,Oliveira & Costa Comércio Distribuidora,GO,basic,2023-01-30 19:08:56
46,Almeida & Almeida Alimentos Distribuidora,RS,basic,2022-10-26 09:13:57
47,Nascimento & Costa Brasil Distribuidora,RJ,free,2022-10-17 12:09:12
48,Silva & Santos Mercado Distribuidora,SC,basic,2023-06-14 03:08:19
49,Lima & Souza Alimentos Distribuidora,CE,basic,2023-07-23 16:35:31
50,Souza & Nascimento Distribuidora Distribuidora,RS,free,2023-01-26 18:20:13
